title,authors,categories,description
The Five Practices in Practice [Elementary],"['Margaret (Peg) Smith', 'Victoria Bill', 'Miriam Gamoran Sherin']",['Education'],"Take a deep dive into the five practices for facilitating productive mathematical discussions Enhance your fluency in the five practices—anticipating, monitoring, selecting, sequencing, and connecting—to bring powerful discussions of mathematical concepts to life in your elementary classroom. This book unpacks the five practices for deeper understanding and empowers you to use each practice effectively. • Video excerpts vividly illustrate the five practices in action in real elementary classrooms • Key questions help you set learning goals, identify high-level tasks, and jumpstart discussion • Prompts guide you to be prepared for and overcome common challenges Includes planning templates, sample lesson plans and completed monitoring tools, and mathematical tasks."
Elements of Mathematical Logic and Set Theory,"['Jerzy Słupecki', 'Ludwik Borkowski']","['Logic, Symbolic and mathematical']",N/A
Constructing Mathematical Knowledge,['Paul Ernest'],"['Knowledge, Theory of']","First Published in 1994. Routledge is an imprint of Taylor & Francis, an informa company."
Opening the Cage,"['Ole Skovsmose', 'Brian Greer']",['Education'],"The picture on the front of this book is an illustration for Totakahini: The tale of the parrot, by Rabindranath Tagore, in which he satirized education as a magnificent golden cage. Opening the cage addresses mathematics education as a complex socio-political phenomenon, exploring the vast terrain that spans critique and politics. Opening the cage includes contributions from educators writing critically about mathematics education in diverse contexts. They demonstrate that mathematics education is politics, they investigate borderland positions, they address the nexus of mathematics, education, and power, and they explore educational possibilities. Mathematics education is not a free enterprise. It is carried on behind bars created by economic, political, and social demands. This cage might not be as magnificent as that in Tagore’s fable. But it is strong. Opening the cage is a critical and political challenge, and we may be surprised to see what emerges."
Computer Graphics and Geometric Modelling,['Max K. Agoston'],['Computers'],"Possibly the most comprehensive overview of computer graphics as seen in the context of geometric modelling, this two volume work covers implementation and theory in a thorough and systematic fashion. Computer Graphics and Geometric Modelling: Mathematics, contains the mathematical background needed for the geometric modeling topics in computer graphics covered in the first volume. This volume begins with material from linear algebra and a discussion of the transformations in affine & projective geometry, followed by topics from advanced calculus & chapters on general topology, combinatorial topology, algebraic topology, differential topology, differential geometry, and finally algebraic geometry. Two important goals throughout were to explain the material thoroughly, and to make it self-contained. This volume by itself would make a good mathematics reference book, in particular for practitioners in the field of geometric modelling. Due to its broad coverage and emphasis on explanation it could be used as a text for introductory mathematics courses on some of the covered topics, such as topology (general, combinatorial, algebraic, and differential) and geometry (differential & algebraic)."
Introduction to Mathematics,"['Bruce Elwyn Meserve', 'Max A. Sobel']",['Mathematics'],N/A
Nelson Mathematics for Cambridge International A Level: Pure Mathematics 1,"['Linda Bostock', 'Sue Chandler']",N/A,"The Nelson Mathematics for Cambridge International AS & A Level series is tailored to the needs of A and AS level students of the latest 9709 syllabus. Developed by a team of experienced examiners and international authors, it provides comprehensive coverage for this syllabus and effective preparation for the Cambridge exams. The Nelson Pure Mathematics 1 for Cambridge International A Level text is designed for students taking the P1 exam paper. It provides introductions to topics and step-by-step worked examples to aid students in their understanding of the course material. Regular summaries and mixed exercises are included, enabling students to consolidate their learning. Students are well equipped to reach their full potential, with practice exam papers providing opportunities for effective exam preparation."
Mathematics Projects Handbook,"['Adrien L. Hess', 'Glenn D. Allinger', 'Lyle E. Andersen']",['Mathematics'],N/A
Bulletin of the American Mathematical Society,['American Mathematical Society'],['Mathematics'],N/A
Cartoon Corner,['Andy Reeves'],['Education'],"What better way to capture your students' imagination and bring it into the world of mathematics than cartoons? Cartoon Corner provides the resources to do just that, with cartoons collected and adapted from the popular """"Cartoon Corner"""" in Mathematics Teaching in the Middle School, adding notes from teachers who field-tested the questions and solutions with their students. The activities are organised by topic and the opening chapter includes suggestions on the many ways to integrate cartoons into your classroom."
Topics in Physical Mathematics,['Kishore Marathe'],['Mathematics'],"As many readers will know, the 20th century was a time when the fields of mathematics and the sciences were seen as two separate entities. Caused by the rapid growth of the physical sciences and an increasing abstraction in mathematical research, each party, physicists and mathematicians alike, suffered a misconception; not only of the opposition’s theoretical underpinning, but of how the two subjects could be intertwined and effectively utilized. One sub-discipline that played a part in the union of the two subjects is Theoretical Physics. Breaking it down further came the fundamental theories, Relativity and Quantum theory, and later on Yang-Mills theory. Other areas to emerge in this area are those derived from the works of Donaldson, Chern-Simons, Floer-Fukaya, and Seiberg-Witten. Aimed at a wide audience, Physical Topics in Mathematics demonstrates how various physical theories have played a crucial role in the developments of Mathematics and in particular, Geometric Topology. Issues are studied in great detail, and the book steadfastly covers the background of both Mathematics and Theoretical Physics in an effort to bring the reader to a deeper understanding of their interaction. Whilst the world of Theoretical Physics and Mathematics is boundless; it is not the intention of this book to cover its enormity. Instead, it seeks to lead the reader through the world of Physical Mathematics; leaving them with a choice of which realm they wish to visit next."
Art Meets Mathematics in the Fourth Dimension,['Stephen Leon Lipscomb'],['Mathematics'],"To see objects that live in the fourth dimension we humans would need to add a fourth dimension to our three-dimensional vision. An example of such an object that lives in the fourth dimension is a hyper-sphere or “3-sphere.” The quest to imagine the elusive 3-sphere has deep historical roots: medieval poet Dante Alighieri used a 3-sphere to convey his allegorical vision of the Christian afterlife in his Divine Comedy. In 1917, Albert Einstein visualized the universe as a 3-sphere, describing this imagery as “the place where the reader’s imagination boggles. Nobody can imagine this thing.” Over time, however, understanding of the concept of a dimension evolved. By 2003, a researcher had successfully rendered into human vision the structure of a 4-web (think of an ever increasingly-dense spider’s web). In this text, Stephen Lipscomb takes his innovative dimension theory research a step further, using the 4-web to reveal a new partial image of a 3-sphere. Illustrations support the reader’s understanding of the mathematics behind this process. Lipscomb describes a computer program that can produce partial images of a 3-sphere and suggests methods of discerning other fourth-dimensional objects that may serve as the basis for future artwork."
Mathematics,"['Edward R. Scheinerman', 'Professor Edward R Scheinerman']",['Computer science'],"Master the fundamentals of discrete mathematics and proof-writing with MATHEMATICS: A DISCRETE INTRODUCTION, 3E, International Edition! With a clear presentation, the mathematics text teaches you not only how to write proofs, but how to think clearly and present cases logically beyond this course. Though it is presented from a mathematician's perspective, you will learn the importance of discrete mathematics in the fields of computer science, engineering, probability, statistics, operations research, and other areas of applied mathematics. Tools such hints and proof templates prepare you to succeed in this course."
20 Careers in Mathematics,['Andrew Sterrett'],['Mathematics'],"This booklet, produced in conjunction with the Mathematical Association of America, features 20 two-page profiles of people who use math to help instructors answer the question: ""What's math good for anyway?"""
Connecting Mathematics and Mathematics Education,['Erich Christian Wittmann'],['Education'],"This Open Access book features a selection of articles written by Erich Ch. Wittmann between 1984 to 2019, which shows how the “design science conception” has been continuously developed over a number of decades. The articles not only describe this conception in general terms, but also demonstrate various substantial learning environments that serve as typical examples. In terms of teacher education, the book provides clear information on how to combine (well-understood) mathematics and methods courses to benefit of teachers. The role of mathematics in mathematics education is often explicitly and implicitly reduced to the delivery of subject matter that then has to be selected and made palpable for students using methods imported from psychology, sociology, educational research and related disciplines. While these fields have made significant contributions to mathematics education in recent decades, it cannot be ignored that mathematics itself, if well understood, provides essential knowledge for teaching mathematics beyond the pure delivery of subject matter. For this purpose, mathematics has to be conceived of as an organism that is deeply rooted in elementary operations of the human mind, which can be seamlessly developed to higher and higher levels so that the full richness of problems of various degrees of difficulty, and different means of representation, problem-solving strategies, and forms of proof can be used in ways that are appropriate for the respective level. This view of mathematics is essential for designing learning environments and curricula, for conducting empirical studies on truly mathematical processes and also for implementing the findings of mathematics education in teacher education, where it is crucial to take systemic constraints into account."
Mathematics Methods for Elementary and Middle School Teachers,['Mary M. Hatfield'],['Education'],"An activity-based approach to teaching with an emphasis on using manipulatives to build conceptual understanding! This invaluable book combines practical teaching ideas, video examples, updated assessment techniques, and the NCTM Assessment Standards to give teachers all the background they need to introduce elementary and middle school students to the wonders of mathematics."
Elementary Mathematical Methods,['Donald D. Paige'],['Mathematics'],N/A
Neurodynamics,"['Stephen Coombes', 'Kyle C. A. Wedgwood']",['Mathematics'],"This book is about the dynamics of neural systems and should be suitable for those with a background in mathematics, physics, or engineering who want to see how their knowledge and skill sets can be applied in a neurobiological context. No prior knowledge of neuroscience is assumed, nor is advanced understanding of all aspects of applied mathematics! Rather, models and methods are introduced in the context of a typical neural phenomenon and a narrative developed that will allow the reader to test their understanding by tackling a set of mathematical problems at the end of each chapter. The emphasis is on mathematical- as opposed to computational-neuroscience, though stresses calculation above theorem and proof. The book presents necessary mathematical material in a digestible and compact form when required for specific topics. The book has nine chapters, progressing from the cell to the tissue, and an extensive set of references. It includes Markov chain models for ions, differential equations for single neuron models, idealised phenomenological models, phase oscillator networks, spiking networks, and integro-differential equations for large scale brain activity, with delays and stochasticity thrown in for good measure. One common methodological element that arises throughout the book is the use of techniques from nonsmooth dynamical systems to form tractable models and make explicit progress in calculating solutions for rhythmic neural behaviour, synchrony, waves, patterns, and their stability. This book was written for those with an interest in applied mathematics seeking to expand their horizons to cover the dynamics of neural systems. It is suitable for a Masters level course or for postgraduate researchers starting in the field of mathematical neuroscience."
Problem Solving Approach to Mathematics for Elementary School Teachers (with Activities and Mymathlab),['Rick Billstein'],['Education'],"Setting the Standard for Tomorrow's Teachers: This best-selling text continues as a comprehensive, skills-based resource for future teachers. In this edition, readers will benefit from additional emphasis on active and collaborative learning. Revised and updated content will better prepare readers for the day when they will be teachers with students of their own. An Introduction to Problem Solving. Sets, Whole Numbers, and Functions. Numeration Systems and Whole-Number Computation. Integers and Number Theory. Rational Numbers as Fractions. Decimals, Percents, and Real Numbers. Probability. Data Analysis/ Statistics: An Introduction. Introductory Geometry. Constructions, Congruence, and Similarity. Concepts of Measurement. Motion Geometry and Tessellations. For all readers interested in mathematics for elementary school teachers."
N/A,N/A,['Mathematics'],N/A
Classical Financial Mathematics,['Bernd Luderer'],['Mathematics'],"This essential teaches basic formulas, methods and ideas of classical financial mathematics. Since classical financial mathematics makes do with elementary mathematical tools, any interested reader with average mathematical school knowledge can easily follow this text. The core of the text is the calculation of interest and compound interest, annuity calculation, amortization calculation and price calculation. A large number of practical examples illustrate the mathematical questions. This Springer essential is a translation of the original German 1st edition essentials, Klassische Finanzmathematik by Bernd Luderer, published by Springer Fachmedien Wiesbaden GmbH, part of Springer Nature in 2019. The translation was done with the help of artificial intelligence (machine translation by the service DeepL.com). A subsequent human revision was done primarily in terms of content, so that the book will read stylistically differently from a conventional translation. Springer Nature works continuously to further the development of tools for the production of books and on the related technologies to support the authors."
Computational Mathematics,['Dimitrios Mitsotakis'],['Mathematics'],"This textbook is a comprehensive introduction to computational mathematics and scientific computing suitable for undergraduate and postgraduate courses. It presents both practical and theoretical aspects of the subject, as well as advantages and pitfalls of classical numerical methods alongside with computer code and experiments in Python. Each chapter closes with modern applications in physics, engineering, and computer science. Features: No previous experience in Python is required. Includes simplified computer code for fast-paced learning and transferable skills development. Includes practical problems ideal for project assignments and distance learning. Presents both intuitive and rigorous faces of modern scientific computing. Provides an introduction to neural networks and machine learning."
Mathematical Perspectives,['Joseph Warren Dauben'],['Mathematics'],"Mathematical Perspectives: Essays on Mathematics and its Historical Development is a collection of 13 biographical essays on the historical advances of science. This collection is originally meant to comprise an issue of the journal Historia Mathematica in honor of Professor Kurt R. Biermann's 60th birthday. This 12-chapter text includes essays on studies and commentaries on the problem of ""figures of equal perimeter by various authors in antiquity, including Zenodorus, Theon, and Pappus. Other essays explore the comparison of the areas of polygons with equal perimeter; the concept of function; history of mathematics; the development of mathematical physics in France; and the history of Logicism and Formalism. The remaining chapters deal with essays on an early version of Gauss' Disquisitiones Arithmeticae, ideal numbers, a mathematical-philosophilica theory of probability, and historical examples of problem of number sequence interpolation."
Discrete Mathematics and Its Applications with MathZone,['Kenneth H. Rosen'],['Computer science'],"""Discrete Mathematics and its Applications, Sixth Edition"", is intended for one- or two-term introductory discrete mathematics courses taken by students from a wide variety of majors, including computer science, mathematics, and engineering. This renowned best-selling text, which has been used at over 600 institutions around the world, gives a focused introduction to the primary themes in a discrete mathematics course and demonstrates the relevance and practicality of discrete mathematics to a wide variety of real-world applications ... from computer science to data networking, to psychology, to chemistry, to engineering, to linguistics, to biology, to business, and to many other important fields."
Invitation to Mathematics,['Konrad Jacobs'],['Mathematics'],"Based on a well-received course designed for philosophy students, this book is an informal introduction to mathematical thinking. The work will be rewarding not only for philosophers concerned with mathematical questions but also for serious amateur mathematicians with an interest in the ""frontiers"" as well as the foundations of mathematics. In what might be termed a sampler of the discipline, Konrad Jacobs discusses an unusually wide range of topics, including such items of contemporary interest as knot theory, optimization theory, and dynamical systems. Using Euclidean geometry and algebra to introduce the mathematical mode of thought, the author then turns to recent developments. In the process he offers what he calls a ""Smithsonian of mathematical showpieces"": the five Platonic Solids, the Mbius Strip, the Cantor Discontinuum, the Peano Curve, Reidemeister's Knot Table, the plane ornaments, Alexander's Horned Sphere, and Antoine's Necklace. The treatments of geometry and algebra are followed by a chapter on induction and one on optimization, game theory, and mathematical economics. The chapter on topology includes a discussion of topological spaces and continuous mappings, curves and knots, Euler's polyhedral formula for surfaces, and the fundamental group. The last chapter deals with dynamics and contains material on the Game of Life, circle rotation, Smale's ""horseshoe,"" and stability and instability, among other topics."
The World of Mathematics,['James Roy Newman'],['Mathematics'],N/A
The World of Mathematics,['James Roy Newman'],['Mathematics'],N/A
The Teaching and Assessing of Mathematical Problem Solving,['National Council of Teachers of Mathematics'],['Education'],N/A
Grammars and Automata for String Processing,"['Carlos Martin-Vide', 'Victor Mitrana']",['Mathematics'],"The conventional wisdom was that biology influenced mathematics and computer science. But a new approach has taken hold: that of transferring methods and tools from computer science to biology. The reverse trend is evident in Grammars and Automata for String Processing: From Mathematics and Computer Science to Biology and Back. The contributors address the structural (syntactical) view of the domain. Mathematical linguistics and computer science can offer various tools for modeling complex macromolecules and for analyzing and simulating biological issues. This collection is valuable for students and researchers in biology, computer science, and applied mathematics."
Ten Mathematical Essays on Approximation in Analysis and Topology,"['J. Ferrera', 'Julián López-Gómez', 'F. R. Ruiz del Portal']",['Mathematics'],"Inverse problems and approximation in topology. P - The papers are extremely well written and directed to a wide audience, from beginners to experts. An excellent occasion to become engaged with some of the most fruitful mathematics developed during the last decades. It contains a number of seminal contributions by some of the most world leading mathematicians of the second half of the 20th Century. The papers cover a complete range of topics, from the intra-history of the involved mathematics to the very last developments in Differential Equations, Inverse Problems, Analysis, Nonlinear Analysis and Topology. All contributed papers are self-contained works containing rather complete list of references on each of the subjects covered.-"
Introduction to Mathematical Systems Theory,"['C. Heij', 'Christiaan Heij', 'André C.M. Ran', 'F. van Schagen']",['Computers'],"This book provides an introduction to the theory of linear systems and control for students in business mathematics, econometrics, computer science, and engineering. The focus is on discrete time systems, which are the most relevant in business applications, as opposed to continuous time systems, requiring less mathematical preliminaries. The subjects treated are among the central topics of deterministic linear system theory: controllability, observability, realization theory, stability and stabilization by feedback, LQ-optimal control theory. Kalman filtering and LQC-control of stochastic systems are also discussed, as are modeling, time series analysis and model specification, along with model validation."
The World of Mathematics,['James Roy Newman'],['Mathematics'],"The objective of this anthology is to introduce intelligent laypersons to the scope, power, significance and beauty of mathematics. It comprises a four-volume set with the selection of articles arranged within topic groupings."
An Introduction to Mathematical Modeling of Infectious Diseases,['Michael Y. Li'],['Mathematics'],"This text provides essential modeling skills and methodology for the study of infectious diseases through a one-semester modeling course or directed individual studies. The book includes mathematical descriptions of epidemiological concepts, and uses classic epidemic models to introduce different mathematical methods in model analysis. Matlab codes are also included for numerical implementations. It is primarily written for upper undergraduate and beginning graduate students in mathematical sciences who have an interest in mathematical modeling of infectious diseases. Although written in a rigorous mathematical manner, the style is not unfriendly to non-mathematicians."
Analysis of Some Mathematical Models of Cell Dynamics in Hematology,['Lorand Gabriel Parajdi '],['Computers'],"Bringing new contributions to science might be challenging, however, this is our path to evolution. We cannot assume that we know everything, but it is only our curiosity that can lead us to answers. Therefore, we can and we should keep trying, seeking new and different paths. There is always a starting point: asking yourself „Why?”, and the answer will follow… The purpose of the present book is the study of some mathematical models of cell dynamics and convex optimization problems applied to chronic myeloid leukemia, a type of leukemia also known as chronic myelogenous leukemia. We take into consideration basic concepts, methods and results from the theory of differential equations, such as: existence, uniqueness, monotonicity, boundedness, continuous dependence on data and stability of solutions."
Mathematical Thinking,"['Masami Isoda', 'Shigeo Katagiri']",['Mathematics'],"Developing mathematical thinking is one of major aims of mathematics education. In mathematics education research, there are a number of researches which describe what it is and how we can observe in experimental research. However, teachers have difficulties developing it in the classrooms. This book is the result of lesson studies over the past 50 years. It describes three perspectives of mathematical thinking: Mathematical Attitude (Minds set), Mathematical Methods in General and Mathematical Ideas with Content and explains how to develop them in the classroom with illuminating examples."
"Introduction to Mathematical Statistics, Global Edition","['ROBERT V.. MCKEAN HOGG (JOESEPH. CRAIG, ALLEN T.)', 'Joeseph McKean', 'Allen T. Craig']",N/A,"For courses in mathematical statistics. Comprehensive coverage of mathematical statistics - with a proven approach Introduction to Mathematical Statistics by Hogg, McKean, and Craig enhances student comprehension and retention with numerous, illustrative examples and exercises. Classical statistical inference procedures in estimation and testing are explored extensively, and the text's flexible organization makes it ideal for a range of mathematical statistics courses. Substantial changes to the 8th Edition - many based on user feedback - help students appreciate the connection between statistical theory and statistical practice, while other changes enhance the development and discussion of the statistical theory presented."
The Didactics of Mathematics: Approaches and Issues,"['Bernard R Hodgson', 'Alain Kuzniak', 'Jean-Baptiste Lagrange']",['Education'],"This book, the outcome of a conference organised in 2012 in Paris as a homage to Michèle Artigue, is based on the main component of this event. However, it offers more than a mere reflection of the conference in itself, as various well-known researchers from the field have been invited to summarize the main topics where the importance of Artigue’s contribution is unquestionable. Her multiple interest areas, as a researcher involved in a wider community, give to this volume its unique flavour of diversity. Michèle Artigue (ICMI 2013 Felix Klein Award, CIAEM 2015 Luis Santaló Award) is without doubt one of the most influential researchers nowadays in the field of didactics of mathematics. This influence rests both on the quality of her research and on her constant contribution, since the early 1970s, to the development of the teaching and learning of mathematics. Observing her exemplary professional history, one can witness the emergence, the development, and the main issues of didactics of mathematics as a specific research field."
Eastern European Mathematics Education in the Decades of Change,['Alexander Karp'],['Education'],"This contributed volume is devoted to the recent history and evolution of mathematics education in Eastern Europe, exploring how it was influenced by social and political changes in this part of the world. Despite the broad recognition of the importance of these changes, little scholarship exists that examines the ways in which they were followed by changes in the teaching of mathematics in the post-socialist countries. Indeed, the analyzed processes are complex and vary across the states. Accordingly, this book touches on many factors--including differences in cultures and traditions – that find expression in the teaching of mathematics. Specifically, this volume seeks to explore what changes there were in education in general and in the position of mathematics in school education in these years, and how these changes may be explained and documented; what changes there were in the content of mathematics education and its assessment, and how were they motivated and adopted; what new textbooks appeared and what new methodological ideas were offered in them; how and why mathematics teacher education and/or professional development changed; what was the role (if any) of foreign influences on mathematics education, etc.The book will be of interest to both researchers in mathematics education and practitioners-teachers, as well as a broader audience of historians and educators exploring the political aspects of education."
The Mathematics of Life,['Ian Stewart'],['Science'],"Biologists have long dismissed mathematics as being unable to meaningfully contribute to our understanding of living beings. Within the past ten years, however, mathematicians have proven that they hold the key to unlocking the mysteries of our world -- and ourselves. In The Mathematics of Life, Ian Stewart provides a fascinating overview of the vital but little-recognized role mathematics has played in pulling back the curtain on the hidden complexities of the natural world -- and how its contribution will be even more vital in the years ahead. In his characteristically clear and entertaining fashion, Stewart explains how mathematicians and biologists have come to work together on some of the most difficult scientific problems that the human race has ever tackled, including the nature and origin of life itself."
The Philosophy of Mathematics,['Stephan Körner'],['Mathematics'],N/A
Mathematics for New Technologies,"['Don Hutchison', 'Mark Yannotta']",['Computer science'],"This text addresses the need for a new mathematics text for careers using digital technology. The material is brought to life through several applications including the mathematics of screen and printer displays. The course, which covers binary arithmetic to Boolean algebra, is emerging throughout the country and may fill a need at your school. This unique text teaches topics such as binary fractions, hexadecimal numbers, and Venn diagrams to students with only a beginning algebra background."
N/A,N/A,['Power (Mechanics)'],N/A
The Amazing Beginnings of Mathematics,"['Robert Natanek', 'Calvin J. Irons']",N/A,"How often do you use mathematics in your everyday life? You may set an alarm to wake up at a certain time, you may go for a run for a certain amount of distance, you might use a map powered by GPS coordinates to know how to get somewhere, and you may give yourself a certain amount of time get to your destination on time. We all use mathematics without thinking about it, and that has always been the case since the early human civilisations. Throughout history humans have been capable of sophisticated mathematical thinking to live, strive and survive, and many of the mathematical concepts invented by our early ancestors have evolved and are still used today. Did you know the binary number system used to power our digital technology was first employed in the Indus Valley over 4,000 years ago? Or that navigation systems like GPS use the mathematical concept of degrees that the Babylonians of Mesopotamia first began to use over 3,000 years ago. This book, The Amazing Beginnings of Mathematics explores the earliest origins of mathematics and their connections to the mathematics we use today. Whether you have a deep interest in mathematics and history or are someone who simply wonders, the engaging presentation and activities in this book will help you understand and appreciate the significant role of early civilisations in developing the concepts that underpin modern advances in mathematics. Also important to note that this book explores the non-European beginnings of mathematics - it is rare to find a mathematics history book that explores the contributions of the Aztec and Maya civilisation of Mesoamerica or the Inca of South America which this book does. Often mathematics is seen as confusing, intimidating, or exclusive to 'gifted' individuals. However, the authors Calvin and Robert believe that everyone can do well in mathematics with the right learning approach using interesting materials. This book features over 60 activity pages that have been woven throughout the discussion and designed to be accessible to a wide audience, usually beginning with students in the primary grades. These activities will teach you to multiply like an ancient Egyptian or work out the area of a field just like the Aztecs did!"
Notices of the American Mathematical Society,['American Mathematical Society'],['Mathematics'],N/A
An Introduction to Mathematical Population Dynamics,"['Mimmo Iannelli', 'Andrea Pugliese']",['Mathematics'],"This book is an introduction to mathematical biology for students with no experience in biology, but who have some mathematical background. The work is focused on population dynamics and ecology, following a tradition that goes back to Lotka and Volterra, and includes a part devoted to the spread of infectious diseases, a field where mathematical modeling is extremely popular. These themes are used as the area where to understand different types of mathematical modeling and the possible meaning of qualitative agreement of modeling with data. The book also includes a collections of problems designed to approach more advanced questions. This material has been used in the courses at the University of Trento, directed at students in their fourth year of studies in Mathematics. It can also be used as a reference as it provides up-to-date developments in several areas."
Advances in Mathematics Research. Volume 20,['Albert R. Baswell'],['Electronic books'],Advances in Mathematics Research presents original studies on the leading edge of mathematics. Each article has been carefully selected in an attempt to present substantial research results across a broad spectrum. Topics discussed include using mathematical tessellation to model spherical particle packing structures; further results on fractional calculus for non-differentiable functions applications to z-transform and generalized functions; low earth orbit satellite constellations for local telecommunication and monitoring services; algorithm for autonomously calibrating reference flat of interferometer and residual influence of linear shift with two-flat method; dealing with non-significant interactions statuses between treatments by a suggested statistical approach; stochastic simultaneous perturbation as powerful method for state and parameter estimation in high dimensional systems; bounded trajectories of unstable piecewise linear systems and its applications; mathematical modeling for predicting battery lifetime through electrical models; and mathematical modeling of the lithium-ion battery lifetime using system identification theory.
Computer-related Mathematics and Statistics,['Brian Patterson'],['Mathematics'],N/A
The African Mother Tongue and Mathematical Ideas,['Abdul Karim Bangura'],['Education'],"This book by renowned scholar Dr Abdul Karim Bangura combines linguistics and mathematics to show how and why African-centred mathematical ideas can be a driving force in Africa’s development efforts. Bangura explores the concept that Africa has been the centre of the History of Mathematics for thousands of years, as the civilizations that emerged across the continent developed contributions which would enrich both ancient and modern understanding of nature through mathematics. However, scholars and other professionals working in the field of mathematics education in Africa have identified a plethora of issues in carrying out their tasks. This is highlighted by one of the most compelling arguments in the book, which is that a major reason for these problems is the fact that the African mother tongues has been greatly neglected in the teaching of mathematics in the continent. Bangura asserts that a change has to be made in order for Africa to benefit from the exceptional opportunities mathematics offer, showing that, even if there is a great body of work connecting linguistics and mathematics, few analyses have been performed on the link between African languages and mathematics—and the ones that have been made are not theoretically-grounded on linguistics. Thus, the book begins by identifying the objects of study of linguistics and mathematics, and delineates which ones they have in common. Next, since the object of study of linguistics is language, the nine design features of language are employed to examine each of the objects as it pertains to African languages. After that, mathematical ideas of sustainability and those of tipping points are suggested as means to help Africa’s development efforts."
Tables of Integrals and Other Mathematical Data,['Herbert Bristol Dwight'],['Mathematics'],N/A
Classical Mathematics from Al-Khwarizmi to Descartes,['Roshdi Rashed'],['History'],"This book follows the development of classical mathematics and the relation between work done in the Arab and Islamic worlds and that undertaken by the likes of Descartes and Fermat. ‘Early modern,’ mathematics is a term widely used to refer to the mathematics which developed in the West during the sixteenth and seventeenth century. For many historians and philosophers this is the watershed which marks a radical departure from ‘classical mathematics,’ to more modern mathematics; heralding the arrival of algebra, geometrical algebra, and the mathematics of the continuous. In this book, Roshdi Rashed demonstrates that ‘early modern,’ mathematics is actually far more composite than previously assumed, with each branch having different traceable origins which span the millennium. Going back to the beginning of these parts, the aim of this book is to identify the concepts and practices of key figures in their development, thereby presenting a fuller reality of these mathematics. This book will be of interest to students and scholars specialising in Islamic science and mathematics, as well as to those with an interest in the more general history of science and mathematics and the transmission of ideas and culture."
Number Theory,['W.A. Coppel'],['Mathematics'],"Undergraduate courses in mathematics are commonly of two types. On the one hand are courses in subjects - such as linear algebra or real analysis - with which it is considered that every student of mathematics should be acquainted. On the other hand are courses given by lecturers in their own areas of specialization, which are intended to serve as a preparation for research. But after taking courses of only these two types, students might not perceive the sometimes surprising interrelationships and analogies between different branches of mathematics, and students who do not go on to become professional mathematicians might never gain a clear understanding of the nature and extent of mathematics. The two-volume Number Theory: An Introduction to Mathematics attempts to provide such an understanding of the nature and extent of mathematics. It is a modern introduction to the theory of numbers, emphasizing its connections with other branches of mathematics. Part A, which should be accessible to a first-year undergraduate, deals with elementary number theory. Part B is more advanced than the first and should give the reader some idea of the scope of mathematics today. The connecting theme is the theory of numbers. By exploring its many connections with other branches, we may obtain a broad picture."
Application of Integral Transforms in Mathematical Physics and Engineering Book,"['Dr. Sarita Poonia', 'Dr. Rafia Begum ', 'Dr. Mahadev Biradar', 'Dr. G. C. Basavaraju']",['Education'],"In this book, readers will explore the fundamental concepts and applications of integral transformations, including Laplace, Fourier, and Mellin transforms, among others. With clear explanations and real-world examples, this book provides a deep understanding of the power and versatility of integral transformations. Whether you’re a student, researcher, or practitioner in the fields of mathematics or engineering physics, this book is an invaluable resource for understanding and applying integral transformations to a wide range of problems."
Technical Mathematics,"['Harold S. Rice', 'Raymond M. Knight']",['Mathematics'],N/A
Oral Storytelling and Teaching Mathematics,['Michael Schiro'],['Education'],Oral Story Telling And Teaching Mathematics provides the first serious exploration of the role that oral storytelling can play in helping children learn mathematics. It should be of interest to those concerned with providing children with powerful mathematical and literary experiences and those concerned with multicultural education. An accompanying CD-ROM contains the full text of two epic stories plus addition worksheets and handouts.
Mathematical Logic,"['Heinz-Dieter Ebbinghaus', 'Jörg Flum', 'Wolfgang Thomas']",['Mathematics'],"This introduction to first-order logic clearly works out the role of first-order logic in the foundations of mathematics, particularly the two basic questions of the range of the axiomatic method and of theorem-proving by machines. It covers several advanced topics not commonly treated in introductory texts, such as Fraïssé's characterization of elementary equivalence, Lindström's theorem on the maximality of first-order logic, and the fundamentals of logic programming."
N/A,N/A,['Electronic journals'],"Founded in 1884, Annals of Mathematics publishes research papers in pure mathematics."
